Start Date,Start Hour,holiday_ind,Weekend,Prev_value,Energy_per_hour
1/12/2019,15,0,1,16.2561825,6.558082192
1/12/2019,16,0,1,20.68028743,5.487796102
1/12/2019,17,0,1,3.2408867,10.17849057
1/12/2019,18,0,1,4.077327935,19.80054266
1/12/2019,19,0,1,14.59976136,12.61828501
1/12/2019,20,0,1,13.53060201,1.257142857
1/12/2019,21,0,1,10.94247559,3.637037037
1/12/2019,23,0,1,7.340294118,9.974236453
1/13/2019,0,0,1,7.274482759,6.678461538
1/13/2019,5,0,1,6.59492786,7.029473684
1/13/2019,10,0,1,6.972808989,19.76604507
1/13/2019,11,0,1,13.53976906,19.73345396
1/13/2019,12,0,1,9.904224946,1.570746269
1/13/2019,13,0,1,13.75914286,5.570819775
1/13/2019,14,0,1,7.195862069,6.724603788
1/13/2019,16,0,1,5.487796102,10.12632353
1/13/2019,18,0,1,19.80054266,4.919278709
1/13/2019,19,0,1,12.61828501,10.39155556
1/13/2019,20,0,1,1.257142857,3.330497238
1/13/2019,21,0,1,3.637037037,3.333834586
1/14/2019,6,0,0,3.736,9.906386555
1/14/2019,8,0,0,3.9965625,19.59933636
1/14/2019,9,0,0,11.96661624,3.568309859
1/14/2019,11,0,0,19.73345396,9.349721797
1/14/2019,12,0,0,1.570746269,10.06056452
1/14/2019,13,0,0,5.570819775,3.210125523
1/14/2019,14,0,0,6.724603788,15.61775065
1/14/2019,16,0,0,10.12632353,19.00034893
1/14/2019,17,0,0,10.17849057,8.627543859
1/14/2019,19,0,0,10.39155556,5.508970588
1/14/2019,20,0,0,3.330497238,6.001166667
1/14/2019,21,0,0,3.333834586,14.0680289
1/15/2019,7,0,0,6.331278603,8.89618323
1/15/2019,8,0,0,19.59933636,14.30111398
1/15/2019,9,0,0,3.568309859,6.948930233
1/15/2019,12,0,0,10.06056452,3.709606299
1/15/2019,13,0,0,3.210125523,14.01786561
1/15/2019,15,0,0,6.558082192,14.50975853
1/15/2019,16,0,0,19.00034893,4.004716981
1/15/2019,17,0,0,8.627543859,3.712258065
1/15/2019,18,0,0,4.919278709,16.13549625
1/15/2019,19,0,0,5.508970588,17.61068274
1/15/2019,21,0,0,14.0680289,2.832692308
1/16/2019,5,0,0,7.029473684,5.642857143
1/16/2019,6,0,0,9.906386555,8.042737017
1/16/2019,8,0,0,14.30111398,14.86741428
1/16/2019,9,0,0,6.948930233,3.569635628
1/16/2019,10,0,0,19.76604507,13.57108476
1/16/2019,11,0,0,9.349721797,3.638360656
1/16/2019,12,0,0,3.709606299,15.79487594
1/16/2019,13,0,0,14.01786561,6.907260504
1/16/2019,14,0,0,15.61775065,7.740721926
1/16/2019,15,0,0,14.50975853,6.28776738
1/16/2019,16,0,0,4.004716981,5.119322034
1/16/2019,17,0,0,3.712258065,3.653664596
1/16/2019,18,0,0,16.13549625,8.37080302
1/16/2019,19,0,0,17.61068274,2.53
1/16/2019,20,0,0,6.001166667,3.2208
1/16/2019,23,0,0,9.974236453,6.336445623
1/17/2019,4,0,0,6.232394366,5.847647059
1/17/2019,6,0,0,8.042737017,4.287457627
1/17/2019,7,0,0,8.89618323,3.252457627
1/17/2019,8,0,0,14.86741428,17.1541229
1/17/2019,9,0,0,3.569635628,10.28073272
1/17/2019,11,0,0,3.638360656,15.4889976
1/17/2019,12,0,0,15.79487594,2.988461538
1/17/2019,13,0,0,6.907260504,3.8964
1/17/2019,14,0,0,7.740721926,14.13178905
1/17/2019,15,0,0,6.28776738,3.305158371
1/17/2019,17,0,0,3.653664596,10.57120714
1/17/2019,18,0,0,8.37080302,10.27003996
1/17/2019,19,0,0,2.53,5.35
1/17/2019,20,0,0,3.2208,3.382191781
1/17/2019,23,0,0,6.336445623,6.474705882
1/18/2019,3,0,0,2.1,3.361121495
1/18/2019,4,0,0,5.847647059,4.976385542
1/18/2019,5,0,0,5.642857143,3.567969925
1/18/2019,7,0,0,3.252457627,6.483333333
1/18/2019,8,0,0,17.1541229,16.63590442
1/18/2019,9,0,0,10.28073272,3.683333333
1/18/2019,10,0,0,13.57108476,1.438928571
1/18/2019,11,0,0,15.4889976,8.104017857
1/18/2019,12,0,0,2.988461538,6.497703242
1/18/2019,13,0,0,3.8964,12.15598165
1/18/2019,14,0,0,14.13178905,7.142909091
1/18/2019,15,0,0,3.305158371,9.365292066
1/18/2019,16,0,0,5.119322034,11.13787692
1/18/2019,17,0,0,10.57120714,6.43220339
1/18/2019,18,0,0,10.27003996,17.45621734
1/18/2019,19,0,0,5.35,6.426315789
1/19/2019,8,0,1,16.63590442,1
1/19/2019,9,0,1,3.683333333,10.37405914
1/19/2019,10,0,1,1.438928571,6.25399069
1/19/2019,11,0,1,8.104017857,6.42
1/19/2019,12,0,1,6.497703242,24.8823148
1/19/2019,13,0,1,12.15598165,15.97618559
1/19/2019,14,0,1,7.142909091,13.95204633
1/19/2019,15,0,1,9.365292066,10.51786765
1/19/2019,16,0,1,11.13787692,13.50703363
1/19/2019,17,0,1,6.43220339,3.733448276
1/19/2019,18,0,1,17.45621734,2.329333333
1/19/2019,20,0,1,3.382191781,6.887694753
1/19/2019,21,0,1,2.832692308,6.634658386
1/20/2019,5,0,1,3.567969925,7.155630252
1/20/2019,8,0,1,1,7.939657181
1/20/2019,10,0,1,6.25399069,13.13537186
1/20/2019,11,0,1,6.42,6.756629897
1/20/2019,12,0,1,24.8823148,8.864927211
1/20/2019,13,0,1,15.97618559,7.136211234
1/20/2019,16,0,1,13.50703363,14.67376224
1/20/2019,17,0,1,3.733448276,2.205217391
1/20/2019,18,0,1,2.329333333,1.937075718
1/20/2019,19,0,1,6.426315789,7.437405583
1/20/2019,20,0,1,6.887694753,3.547338129
1/21/2019,1,1,0,6.4,6.648
1/21/2019,5,1,0,7.155630252,7.015813953
1/21/2019,9,1,0,10.37405914,11.31150294
1/21/2019,10,1,0,13.13537186,3.389577465
1/21/2019,14,1,0,13.95204633,15.63017967
